,cum_rewards
0,-306.8555119299125
1,-308.05336751927575
2,-307.38242921306994
3,-307.6071841485379
4,-307.4256461275796
5,-307.4679858388868
6,-307.9409027782309
7,-306.7952466181101
8,-307.5161537201842
9,-306.8925342473029
10,-308.0542161019344
11,-308.58245113417775
12,-307.10147191953445
13,-307.1775887443926
14,-306.61065210252406
15,-307.729981720186
16,-306.96818982801983
17,-307.4881305330135
18,-307.3573436809735
19,-307.14083785346844
20,-308.0155923837059
21,-307.5190907966227
22,-306.7008594767775
23,-307.8744125650493
24,-307.6161466718605
25,-306.75585071597226
26,-307.1405313494381
27,-306.8255178804092
28,-307.6740631360654
29,-307.52828807377597
30,-307.79808180126855
31,-307.5167411005777
32,-307.76905193711895
33,-307.54436693759845
34,-307.29571920333893
35,-308.39728227204904
36,-307.5211794130885
37,-306.6648724749965
38,-306.8913806378436
39,-307.8797702110301
40,-307.1360510506874
41,-307.4687655753861
42,-307.61375334127877
43,-307.04568041276565
44,-307.1559586292105
45,-307.67408766974097
46,-307.88279907567426
47,-307.00067170893414
48,-307.2339886855975
49,-307.7213200808402
50,-306.92618395973363
51,-307.4875010375017
52,-307.36826362313303
53,-306.0864153694231
54,-307.0679054970265
55,-307.57184803083277
56,-306.93122920829836
57,-307.25736788067195
58,-306.74346749342055
59,-307.97390425393445
60,-307.20219838467057
61,-307.5105467631021
62,-306.99871190892856
63,-307.5649263190803
64,-306.98409689047685
65,-306.5847503635761
66,-306.6514570438302
67,-307.22003561408195
68,-306.7614947218651
69,-308.36911126975906
70,-308.2952666902787
71,-307.266784918404
72,-308.22388817932875
73,-308.05552213545144
74,-308.14856900951986
75,-307.3570522831231
76,-307.9543425661796
77,-307.7817802872374
78,-307.1815047090886
79,-308.207993270637
80,-307.9631965284941
81,-306.4764846309961
82,-308.1521305933754
83,-306.5055615412257
84,-307.44460442305154
85,-307.792702189232
86,-308.03844762939127
87,-307.9040821213791
88,-307.4898057608764
89,-307.32686648237654
90,-307.3255307498897
91,-307.85100809146803
92,-306.5413258061967
93,-307.2201743966536
94,-307.51168624372036
95,-306.86073905690495
96,-307.7842125611361
97,-307.34726336274036
98,-307.77336311422454
99,-307.1419100119437
100,-306.4286911693201
101,-307.59743923580777
102,-307.7327023931317
103,-307.6397681103387
104,-308.40591721158626
105,-307.49575377031005
106,-306.8888749723781
107,-308.2054947201696
108,-307.54944578388125
109,-307.74815585004444
110,-308.00761121502285
111,-308.3002521137994
112,-307.82118632990785
113,-306.99699357711893
114,-307.949624002602
115,-306.46454340511514
116,-307.68216385444043
117,-307.7744852581492
118,-308.18097862662313
119,-307.50855363078557
120,-307.5282108721957
121,-307.6852428032681
122,-307.5580644559744
123,-307.61996442090805
124,-307.913403668815
125,-306.6142732913435
126,-307.7518203335767
127,-307.97647407794284
128,-306.687592116813
129,-308.09442492968276
130,-308.13409441233614
131,-307.48801409454114
132,-307.75506523492885
133,-308.2957728452258
134,-306.79436983182495
135,-307.9053921104557
136,-307.7098744372951
137,-307.218028870904
138,-306.8451529073352
139,-307.7861339665066
140,-307.47393877176216
141,-308.0563297680125
142,-307.5277521055298
143,-307.2784553651824
144,-306.55821538388403
