,sell_money
0,1551797897.016188
1,1607542446.3629284
2,1496511230.609179
3,1662792140.4472957
4,1607039750.3039796
5,1552077602.4863944
6,1662840437.047421
7,1551747059.323327
8,1551770932.6427827
9,1607586926.3943639
10,1496609782.1117108
11,1606949830.3434565
12,1607306997.8865874
13,1551869319.6909409
14,1551861739.858173
15,1662938843.201989
16,1607405665.4720328
17,1662769252.2660286
18,1551685882.2307699
19,1552165499.6241648
20,1607233989.2897773
21,1552153236.950629
22,1551766281.9396324
23,1662965621.7597492
24,1552007561.5422645
25,1607381041.8235507
26,1663015252.6874936
27,1607509745.2371562
28,1551891117.1742253
29,1607484152.4318647
30,1663202247.8585322
31,1606787368.0031157
32,1551770581.2756112
33,1607136880.0991402
34,1662897173.3112411
35,1552003641.574591
36,1496466175.201493
37,1607278138.0991185
38,1552051835.862263
39,1552059851.199335
40,1663025954.17894
41,1607366853.3968837
42,1552027461.9015276
43,1607114074.1677263
44,1552256621.8552122
45,1551325635.5317492
46,1662619681.139347
47,1606960589.602559
48,1552227940.194108
49,1496238796.0943208
50,1551960506.778055
51,1551813939.0476303
52,1607119291.6088057
53,1606922585.9676278
54,1551919496.9583766
55,1607567145.74704
56,1662929187.9543104
57,1607364932.023428
58,1606784449.8580608
59,1607642158.3549285
60,1607188774.493724
61,1551695593.3675866
62,1607174054.7270858
63,1662761054.3664045
64,1607511835.0678012
65,1551900220.6717045
66,1552443622.595805
67,1607307347.0831647
68,1551391800.946645
69,1662941709.7979422
70,1552202638.0798826
71,1663022411.6622274
72,1663121456.757058
73,1662960738.6633487
74,1552018681.216844
75,1663027045.1303365
76,1551730965.0373752
77,1551612298.7900612
78,1607401910.2222865
79,1663004478.7696807
80,1607172966.7980204
81,1496955978.118298
82,1607202622.4391527
83,1607458956.4346938
84,1662675550.3585365
85,1607523441.6335833
86,1496736438.2993312
87,1552059316.9951935
88,1551586228.958918
89,1607278862.9132733
90,1607162319.827168
91,1551583482.0675437
92,1551658994.875426
93,1607785086.9057128
94,1663301542.4538627
95,1496357358.499809
96,1551914864.851092
97,1607908817.4622993
98,1552024300.9983053
99,1551795210.2735958
100,1607307169.594419
101,1552001448.4235961
102,1607668549.9727135
103,1552125670.3540096
104,1607348469.5473874
105,1552062597.5642233
106,1552089847.6026056
107,1607575350.1531518
108,1663098851.333628
109,1551560274.230554
110,1662906868.6434088
111,1552191062.7752864
112,1662978778.9545069
113,1607649058.026411
114,1551603428.6939232
115,1607205302.3096726
