,cum_rewards
0,-307.0489219170549
1,-307.81993751923426
2,-307.7840393686725
3,-307.678993554119
4,-307.62721160756314
5,-308.04062587600606
6,-307.84729521536406
7,-307.6052734202689
8,-306.94534310929293
9,-307.0832256718914
10,-307.5011375055825
11,-307.5654177273616
12,-306.5390798587914
13,-308.02457703690567
14,-307.6373312819882
15,-307.53141732265317
16,-307.0900517093949
17,-308.0144246574867
18,-307.51182218430444
19,-308.1989226238702
20,-307.3520030106819
21,-308.8046625778959
22,-307.14986896594223
23,-306.6835382681828
24,-307.1476103608493
25,-308.31056244561364
26,-307.49026183757763
27,-308.2481640007002
28,-308.08887066215914
29,-307.3749780205514
30,-307.6409106876663
31,-308.3705003432077
32,-307.50659228009573
33,-307.9762812361302
34,-307.5174069141377
35,-307.294273012752
36,-306.427121860437
37,-307.2874639651546
38,-307.0043598693389
39,-306.84740121931605
40,-306.8472980255086
41,-306.24460048965136
42,-307.33087183622064
43,-307.8107982475311
44,-307.2870878987749
45,-308.1977188457342
46,-308.25948383362595
47,-307.06235198908354
48,-307.2068605839087
49,-307.8855574739466
50,-306.7864013520443
51,-306.9215940578404
52,-307.3348220567974
53,-308.5483717183253
54,-306.09557273216274
55,-307.3328013939227
56,-307.0164404668052
57,-308.0240791306582
58,-307.36252682919263
59,-307.2220509939381
60,-307.0348039893154
61,-306.85213906175545
62,-307.8730566932766
63,-307.3713190139228
64,-306.827426231981
65,-307.47153217728817
66,-307.5380880047439
67,-307.10559231282383
68,-307.2307694197896
69,-307.82575931938277
70,-307.4941225209401
71,-307.42867622696076
72,-307.1154836704316
73,-307.61844535962933
74,-307.82468129503127
75,-307.16020615106675
76,-306.9420406999199
77,-307.49113684865864
78,-307.03976435027954
79,-308.4528009817318
80,-307.46852829630353
81,-308.5442066078965
82,-307.8358442668072
83,-308.35928566957773
84,-306.95113497054615
85,-307.08626818485936
86,-307.40588288286
87,-308.6792741118396
88,-307.3942969135851
89,-307.84189490545066
90,-307.6793094618043
91,-306.7959947445285
92,-306.03705258522973
93,-308.00209484790776
94,-306.3671142102158
95,-307.58395478152124
96,-308.4155050880949
97,-307.60282635273455
98,-307.0479744206802
99,-307.1346963008062
100,-307.4716902475652
101,-307.88937757526793
102,-306.8957856048701
103,-307.0807822708961
104,-307.56251344271845
105,-307.79948292325247
106,-308.49406468285946
107,-306.7618164475769
108,-307.3064830403859
109,-306.84078607614265
110,-307.7195699370494
111,-307.4606002506232
112,-307.41855294848267
113,-307.7584130009814
114,-308.13245663188405
115,-307.9091949221206
116,-308.078333502152
117,-307.64851065693256
118,-307.25292370196695
119,-306.8793422732275
120,-307.0346315498619
121,-307.1836873282547
122,-307.66647267887413
123,-307.32037605563664
124,-307.4637883088246
125,-306.83183044657153
126,-307.76722717849725
127,-306.91626649231483
128,-307.6274900554154
129,-307.30009163774935
130,-307.4600082325781
131,-307.85195646446385
132,-307.96882921914283
133,-307.1912118225612
134,-307.4245674038657
135,-306.98018666302977
136,-306.2263882401525
137,-307.180498548117
138,-306.8863860350706
139,-307.80813158590706
140,-306.848884180748
141,-306.5841992445339
142,-307.07005468196166
143,-307.28813501023154
144,-307.12418264445506
145,-306.51068676588403
146,-307.4265673348136
